rank,book_name,author,rating_value,rating_count,meta_score_num,number_of_voted_num,book_url,page,Cluster
1300.0,Last Vote (Emma Last FBI Mystery #10),Mary Stone,4.61,2915,571,6,https://www.goodreads.com/book/show/210205263-last-vote,14,1
1303.0,"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,3.97,340749,570,7,https://www.goodreads.com/book/show/7791997-crescendo,14,3
1303.0,Bring Me Back,B.A. Paris,3.49,134988,570,7,https://www.goodreads.com/book/show/36448554-bring-me-back,14,0
1303.0,"The Widow (Kate Waters, #1)",Fiona Barton,3.49,121434,570,7,https://www.goodreads.com/book/show/25734248-the-widow,14,0
1306.0,"The Sinner (Rizzoli & Isles, #3)",Tess Gerritsen,4.14,65742,569,8,https://www.goodreads.com/book/show/32257.The_Sinner,14,3
1306.0,"Persuader (Jack Reacher, #7)",Lee Child,4.15,107962,569,7,https://www.goodreads.com/book/show/455941.Persuader,14,3
1308.0,La Cucaracha,Chloe Jarren,4.17,6,568,6,https://www.goodreads.com/book/show/6086638-la-cucaracha,14,1
1308.0,"Beholden (Marlowe Black Mystery, #1)",Gabriel F.W. Koch,4.29,924,568,6,https://www.goodreads.com/book/show/36747772-beholden,14,1
1310.0,"Dark Island (Orkney Mysteries, #1)",Daniel Aubrey,4.03,1641,567,6,https://www.goodreads.com/book/show/200851668-dark-island,14,1
1311.0,"Make Me (Jack Reacher, #20)",Lee Child,4.02,86669,566,7,https://www.goodreads.com/book/show/23664710-make-me,14,3
1311.0,The Turnout,Megan Abbott,3.11,24630,566,6,https://www.goodreads.com/book/show/55573785-the-turnout,14,0
1313.0,"Untamed (House of Night, #4)",P.C. Cast,3.94,246923,565,7,https://www.goodreads.com/book/show/2866718-untamed,14,3
1314.0,The Inmate,Freida McFadden,3.99,1205933,564,6,https://www.goodreads.com/book/show/61149872-the-inmate,14,3
1315.0,"Neverwhere (London Below, #1)",Neil Gaiman,4.16,568800,562,8,https://www.goodreads.com/book/show/14497.Neverwhere,14,3
1315.0,The Bone Garden,Tess Gerritsen,4.07,35496,562,7,https://www.goodreads.com/book/show/1430213.The_Bone_Garden,14,3
1315.0,The Lost Apothecary,Sarah Penner,3.76,523426,562,6,https://www.goodreads.com/book/show/53288434-the-lost-apothecary,14,0
1318.0,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.06,484405,561,6,https://www.goodreads.com/book/show/3236307-graceling,14,3
1318.0,The Ballerinas,Rachel Kapelke-Dale,3.44,12033,561,6,https://www.goodreads.com/book/show/56268810-the-ballerinas,14,0
1320.0,Julius Caesar,William Shakespeare,3.71,225653,560,6,https://www.goodreads.com/book/show/13006.Julius_Caesar,14,0
1320.0,"Vision to Reality: Stop Working, Start Living",Curtis L. Jenkins,4.31,5283,560,6,https://www.goodreads.com/book/show/61374668-vision-to-reality,14,1
1322.0,Madame Bovary,Gustave Flaubert,3.71,389156,558,7,https://www.goodreads.com/book/show/2175.Madame_Bovary,14,0
1322.0,A Slow Fire Burning,Paula Hawkins,3.5,184824,558,6,https://www.goodreads.com/book/show/56213354-a-slow-fire-burning,14,0
1322.0,The Cousins,Karen M. McManus,3.76,151524,558,7,https://www.goodreads.com/book/show/49757149-the-cousins,14,0
1322.0,"""Look Here, Sir, What a Curious Bird"": Searching for Ali, Alfred Russel Wallace's Faithful Companion",Paul Spencer Sochaczewski,4.3,758,558,7,https://www.goodreads.com/book/show/184038287-look-here-sir-what-a-curious-bird,14,1
1326.0,Waiting for Godot,Samuel Beckett,3.84,228502,557,7,https://www.goodreads.com/book/show/17716.Waiting_for_Godot,14,0
1326.0,"The Luxe (Luxe, #1)",Anna Godbersen,3.65,74686,557,7,https://www.goodreads.com/book/show/1254951.The_Luxe,14,0
1326.0,The Lacuna,Barbara Kingsolver,3.83,76431,557,6,https://www.goodreads.com/book/show/6433752-the-lacuna,14,0
1326.0,"Tithe (Modern Faerie Tales, #1)",Holly Black,3.68,110405,557,7,https://www.goodreads.com/book/show/46777.Tithe,14,0
1330.0,"Heat Wave (Nikki Heat, #1)",Richard Castle,3.58,68572,556,7,https://www.goodreads.com/book/show/6566722-heat-wave,14,0
1331.0,Stepping Beyond Intention,Daniel Mangena,4.29,104,554,6,https://www.goodreads.com/book/show/41574189-stepping-beyond-intention,14,1
1331.0,"The Coffin Dancer (Lincoln Rhyme, #2)",Jeffery Deaver,4.16,56424,554,7,https://www.goodreads.com/book/show/227729.The_Coffin_Dancer,14,3
1331.0,"Packfire (Simon Pack, #9)",John M. Vermillion,4.33,376,554,6,https://www.goodreads.com/book/show/56040881-packfire,14,1
1334.0,We Have Always Lived in the Castle,Shirley Jackson,3.9,317519,553,8,https://www.goodreads.com/book/show/89724.We_Have_Always_Lived_in_the_Castle,14,3
1334.0,The Dharma Bums,Jack Kerouac,3.93,103715,553,6,https://www.goodreads.com/book/show/412732.The_Dharma_Bums,14,3
1334.0,And the Mountains Echoed,Khaled Hosseini,4.08,416510,553,6,https://www.goodreads.com/book/show/16115612-and-the-mountains-echoed,14,3
1334.0,"Crossed (Matched, #2)",Ally Condie,3.52,262138,553,6,https://www.goodreads.com/book/show/15812814-crossed,14,0
1334.0,The Ascension of Mary,William West,4.49,129,553,6,https://www.goodreads.com/book/show/59235511-the-ascension-of-mary,14,1
1339.0,"Something Rotten (Thursday Next, #4)",Jasper Fforde,4.16,36375,552,6,https://www.goodreads.com/book/show/26999.Something_Rotten,14,3
1340.0,"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,4.26,180460,551,7,https://www.goodreads.com/book/show/60400.The_Ruins_of_Gorlan,14,3
1340.0,"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,3.95,340704,551,7,https://www.goodreads.com/book/show/65641.The_Silver_Chair,14,3
1340.0,"The Fall of the Phoenix (Heroes of Troy, #1)",Daniel Kelly,4.4,298,551,6,https://www.goodreads.com/book/show/41715111-the-fall-of-the-phoenix,14,1
1343.0,Beach Road,James Patterson,3.85,39264,550,6,https://www.goodreads.com/book/show/85733.Beach_Road,14,0
1343.0,"The Innocent (Will Robie, #1)",David Baldacci,4.19,124567,550,7,https://www.goodreads.com/book/show/12849385-the-innocent,14,3
1343.0,Dear Barack: The Extraordinary Partnership of Barack Obama and Angela Merkel,Claudia Clark,4.27,5812,550,6,https://www.goodreads.com/book/show/58480569-dear-barack,14,1
